ぃ	0
け	1
さ	2
ざ	3
タ	4
チ	5
ロ	6
一一	7
一一对应	8
一丁点	9
一万倍	10
一万元	11
一上	12
一下	13
一下子	14
一不小心	15
一不注意	16
一不留神	17
一世	18
一丝	19
一丝不苟	20
一两	21
一两百	22
一个	23
一个一个	24
一个个	25
一个中国	26
一个人	27
一个劲	28
一个多月	29
一个字	30
一个是	31
一个月	32
一个样	33
一个词	34
一串串	35
一举	36
一举一动	37
一书	38
一事	39
一二分钟	40
一二级	41
一些	42
一些单位	43
一些问题	44
一交	45
一人	46
一付	47
一代	48
一以贯之	49
一件	50
一件事	51
一份	52
一伙	53
一会	54
一会儿	55
一位	56
一住	57
一体	58
一侧	59
一倍	60
一停	61
一元	62
一兜	63
一八	64
一八十	65
一公尺	66
一公里	67
一共	68
一关	69
一再	70
一再强调	71
一凉	72
一出	73
一出来	74
一分	75
一分为二	76
一分货	77
一分钟	78
一分钱	79
一分钱一分货	80
一切都	81
一切都是	82
一切顺利	83
一到	84
一刷	85
一刹那	86
一刻	87
一刻钟	88
一前	89
一前一后	90
一副	91
一包	92
一十五	93
一千	94
一千倍	95
一半	96
一卫	97
一卷	98
一厅	99
一去	100
一去不回	101
一去不复返	102
一双	103
一口	104
一口咬定	105
一口气	106
一句	107
一句话	108
一只	109
一只手	110
一台	111
一号	112
一吃	113
一名	114
一吐	115
一向	116
一听	117
一吸	118
一吹	119
一员	120
一周	121
一味	122
一和	123
一品红	124
一回	125
一回事	126
一团	127
一团漆黑	128
一团糟	129
一圈	130
一在	131
一地	132
一场	133
一坐	134
一块	135
一块块	136
一块钱	137
一堆	138
一堵	139
一塌糊涂	140
一塌胡涂	141
一墙之隔	142
一声	143
一声不响	144
一壶	145
一壶水	146
一处	147
一多	148
一夜	149
一夜情	150
一大	151
一大半	152
一大块	153
一大堆	154
一大截	155
一大批	156
一大早	157
一大片	158
一大笔钱	159
一大群	160
一大跳	161
一天	162
一天到晚	163
一头	164
一套	165
一女	166
一好	167
一如	168
一如既往	169
一字	170
一定	171
一客	172
一室	173
一家	174
一家人	175
一家子	176
一家老小	177
一对	178
一封	179
一封信	180
一尊	181
一小	182
一小包	183
