Id,Response
1,5
3,7
4,7
9,6
12,8
13,7
21,7
28,6
30,5
36,7
38,8
43,6
45,4
48,8
50,5
51,7
54,6
55,8
59,8
62,5
63,8
66,8
69,8
82,8
83,6
84,7
86,8
89,8
90,3
92,8
98,6
100,2
105,5
115,8
119,2
124,2
127,8
133,6
140,5
141,8
143,2
151,6
154,8
157,8
163,5
166,2
168,8
170,5
173,8
180,6
182,8
184,5
185,8
195,8
196,6
197,5
212,5
213,8
219,8
225,4
227,5
232,3
239,6
247,5
251,4
254,6
261,6
264,5
267,6
272,6
275,8
277,2
283,6
284,2
287,7
291,8
293,5
294,2
305,6
307,4
309,8
311,4
322,3
323,4
326,6
330,2
335,7
337,6
338,4
341,1
346,6
348,6
352,4
356,8
358,3
366,6
369,4
373,5
375,4
381,4
384,8
386,5
396,7
397,1
399,7
405,8
412,6
417,4
421,5
425,7
427,8
430,5
432,5
433,7
436,8
438,7
441,8
442,6
444,6
446,8
448,7
450,6
454,8
465,6
470,5
472,4
475,7
484,8
495,6
497,8
498,7
501,3
502,6
505,7
515,3
516,5
527,8
529,3
531,8
533,6
537,2
541,7
546,8
548,5
549,8
550,7
553,8
559,6
561,4
564,1
574,5
578,7
579,6
580,8
582,5
584,8
588,6
596,6
602,3
603,2
613,6
614,2
619,8
620,8
624,5
625,7
628,5
630,6
635,7
636,2
637,8
641,8
644,8
648,8
654,7
658,5
664,8
666,6
667,8
670,8
672,6
674,8
676,8
684,8
685,5
693,1
694,8
700,3
702,6
703,6
705,6
711,8
718,2
722,7
726,5
727,5
732,8
735,8
740,5
748,7
750,6
751,8
756,7
762,6
766,8
770,7
771,2
779,6
782,2
784,8
793,6
798,5
800,5
801,8
805,8
807,3
813,6
819,8
820,7
822,8
823,7
833,8
834,6
842,3
845,6
856,5
860,5
864,3
869,7
872,7
877,5
878,7
893,7
894,7
896,6
899,2
900,6
911,1
914,8
917,1
919,6
923,1
925,5
926,4
934,7
938,8
940,7
955,6
956,6
971,8
973,8
978,8
979,8
981,7
988,8
990,8
992,4
996,8
997,3
999,5
1000,8
1006,5
1009,2
1018,7
1025,5
1038,7
1042,5
1045,4
1046,8
1047,3
1050,6
1052,6
1054,8
1057,7
1061,2
1069,5
1071,6
1073,5
1074,8
1075,5
1083,5
1084,2
1089,5
1099,5
1103,5
1110,8
1123,7
1130,6
1135,5
1137,8
1145,8
1147,5
1152,8
1153,2
1154,8
1158,8
1166,7
1170,8
1172,8
1178,5
1179,8
1181,2
1182,7
1183,8
1191,6
1192,1
1200,3
1205,7
1207,7
1208,2
1209,4
1217,2
1223,7
1225,8
1226,3
1228,5
1230,5
1232,7
1235,8
1237,6
1257,6
1266,1
1267,7
1274,8
1277,8
1278,7
1280,8
1282,8
1293,5
1294,3
1305,8
1306,6
1311,7
1318,6
1320,8
1323,8
1325,3
1328,5
1336,5
1340,7
1341,8
1344,7
1345,7
1348,2
1358,1
1361,8
1364,5
1373,8
1377,5
1378,5
1380,6
1382,7
1383,4
1386,8
1387,2
1390,4
1395,6
1398,8
1402,4
1403,8
1405,7
1407,7
1410,1
1412,2
1419,5
1426,6
1428,8
1436,7
1437,2
1438,6
1441,8
1444,5
1448,2
1454,5
1457,6
1459,8
1463,7
1467,2
1471,7
1475,5
1476,3
1480,8
1481,1
1482,5
1489,5
1491,7
1494,8
1496,8
1500,8
1501,7
1503,6
1504,4
1505,5
1515,4
1517,5
1520,6
1521,5
1523,8
1526,7
1529,5
1530,7
1543,5
1544,8
1547,6
1550,8
1552,5
1554,6
1563,7
1574,6
1575,5
1576,5
1579,3
1582,3
1584,8
1585,8
1589,5
1596,8
1598,3
1611,6
1613,2
1615,7
1618,5
1627,6
1630,2
1638,8
1639,7
1640,8
1642,6
1645,6
1648,6
1654,6
1661,7
1662,7
1663,8
1666,5
1668,2
1670,1
1672,7
1681,6
1682,7
1683,2
1687,8
1688,8
1693,7
1694,6
1700,8
1704,6
1712,8
1716,8
1717,7
1722,5
1724,5
1738,1
1739,1
1740,8
1761,8
1763,8
1765,8
1766,7
1767,8
1771,5
1772,6
1777,7
1784,3
1799,6
1806,6
1810,3
1812,5
1814,1
1818,6
1819,8
1822,5
1823,7
1824,2
1834,5
1835,6
1844,5
1848,6
1849,8
1850,6
1851,4
1856,2
1862,2
1863,6
1872,7
1874,3
1875,8
1877,7
1900,6
1902,6
1904,4
1905,2
1908,8
1914,8
1916,2
1922,3
1933,6
1934,5
1939,7
1942,5
1947,8
1957,8
1971,8
1973,2
1974,7
1977,8
1981,6
1985,8
1987,6
1989,8
2001,2
2002,2
2007,2
2008,7
2011,6
2021,6
2034,6
2040,8
2044,4
2045,8
2048,7
2051,7
2062,8
2066,1
2068,5
2069,2
2074,7
2075,6
2078,6
2079,1
2080,1
2081,4
2084,2
2085,7
2087,7
2096,6
2102,8
2103,5
2107,8
2117,4
2118,2
2120,6
2121,4
2122,2
2130,7
2136,2
2138,8
2140,7
2143,7
2144,5
2145,6
2147,7
2150,3
2154,8
2155,3
2166,5
2169,4
2173,6
2176,1
2178,7
2179,4
2180,8
2184,8
2185,8
2188,6
2190,7
2194,7
2195,7
2198,4
2205,8
2206,7
2207,2
2212,7
2213,5
2216,8
2218,2
2224,6
2225,8
2228,8
2236,6
2242,8
2246,5
2250,8
2255,6
2256,1
2267,6
2268,7
2269,5
2272,6
2275,2
2280,8
2282,8
2287,7
2289,8
2293,8
2296,8
2307,7
2309,7
2313,5
2325,5
2327,6
2336,2
2339,6
2342,8
2347,8
2350,5
2360,6
2364,8
2369,2
2379,2
2394,7
2395,5
2399,7
2402,8
2410,8
2416,7
2420,8
2427,6
2434,8
2435,6
2441,8
2447,6
2452,6
2463,7
2467,5
2468,8
2470,6
2476,6
2483,2
2487,5
2492,8
2502,7
2504,5
2510,8
2511,1
2512,7
2517,8
2520,8
2521,8
2523,7
2524,5
2525,6
2526,3
2528,8
2530,5
2532,3
2536,3
2540,7
2541,5
2543,4
